NameAlg;Seq;count;Time Random,milliseconds;Time Random 5, milliseconds;Time Random 10%, milliseconds
InsertSort;-;20;0;0;0
ShellSort;1;20;0;0;0
ShellSort;ShellStep;20;0;0;0
ShellSort;FrankLazarusStep;20;0;0;0
ShellSort;Sedgewick1982Step;20;0;0;0
ShellSort;Ciura;20;0;0;0
InsertSort;-;40;0;0;0
ShellSort;1;40;0;0;0
ShellSort;ShellStep;40;0;0;0
ShellSort;FrankLazarusStep;40;0;0;0
ShellSort;Sedgewick1982Step;40;0;0;0
ShellSort;Ciura;40;0;0;0
InsertSort;-;80;0;0;0
ShellSort;1;80;0;0;0
ShellSort;ShellStep;80;0;0;0
ShellSort;FrankLazarusStep;80;0;0;0
ShellSort;Sedgewick1982Step;80;0;0;0
ShellSort;Ciura;80;0;0;0
InsertSort;-;160;0;0;0
ShellSort;1;160;0;0;0
ShellSort;ShellStep;160;0;0;0
ShellSort;FrankLazarusStep;160;0;0;0
ShellSort;Sedgewick1982Step;160;0;0;0
ShellSort;Ciura;160;0;0;0
InsertSort;-;320;0;0;0
ShellSort;1;320;0;0;0
ShellSort;ShellStep;320;0;0;0
ShellSort;FrankLazarusStep;320;0;0;0
ShellSort;Sedgewick1982Step;320;0;0;0
ShellSort;Ciura;320;0;0;0
InsertSort;-;640;0;0;0
ShellSort;1;640;0;0;0
ShellSort;ShellStep;640;0;0;0
ShellSort;FrankLazarusStep;640;0;0;0
ShellSort;Sedgewick1982Step;640;0;0;0
ShellSort;Ciura;640;0;0;0
InsertSort;-;1280;2;0;0
ShellSort;1;1280;2;0;0
ShellSort;ShellStep;1280;0;0;0
ShellSort;FrankLazarusStep;1280;0;0;0
ShellSort;Sedgewick1982Step;1280;0;0;0
ShellSort;Ciura;1280;0;0;0
InsertSort;-;2560;9;0;1
ShellSort;1;2560;8;0;1
ShellSort;ShellStep;2560;0;0;0
ShellSort;FrankLazarusStep;2560;0;0;0
ShellSort;Sedgewick1982Step;2560;0;0;0
ShellSort;Ciura;2560;0;0;0
InsertSort;-;5120;35;0;4
ShellSort;1;5120;34;0;4
ShellSort;ShellStep;5120;1;0;0
ShellSort;FrankLazarusStep;5120;0;0;0
ShellSort;Sedgewick1982Step;5120;0;0;0
ShellSort;Ciura;5120;0;0;0
InsertSort;-;10240;135;0;18
ShellSort;1;10240;135;0;17
ShellSort;ShellStep;10240;3;0;1
ShellSort;FrankLazarusStep;10240;1;0;1
ShellSort;Sedgewick1982Step;10240;1;0;1
ShellSort;Ciura;10240;1;0;1
InsertSort;-;20480;540;0;72
ShellSort;1;20480;540;0;70
ShellSort;ShellStep;20480;7;1;4
ShellSort;FrankLazarusStep;20480;4;1;3
ShellSort;Sedgewick1982Step;20480;3;0;2
ShellSort;Ciura;20480;3;0;2
InsertSort;-;40960;2183;0;293
ShellSort;1;40960;2177;0;288
ShellSort;ShellStep;40960;27;2;12
ShellSort;FrankLazarusStep;40960;10;2;7
ShellSort;Sedgewick1982Step;40960;8;1;6
ShellSort;Ciura;40960;10;1;6
InsertSort;-;81920;8673;0;1125
ShellSort;1;81920;8725;1;1136
ShellSort;ShellStep;81920;58;5;32
ShellSort;FrankLazarusStep;81920;22;7;16
ShellSort;Sedgewick1982Step;81920;17;3;14
ShellSort;Ciura;81920;26;4;13
